task,complexity,strategy,model,success,outputLength,tokens,iter,durationMs,costUsd
t1-trivial,trivial,reactive,cogito_14b,1,121,0,1,6164,0.000000
t2-factual,factual,reactive,cogito_14b,1,114,0,4,5530,0.000000
t3-tool,tool-required,reactive,cogito_14b,1,395,0,4,8604,0.000000
t4-multistep,multi-step,reactive,cogito_14b,1,2238,0,7,16120,0.000000
t5-critique,critique-amenable,reactive,cogito_14b,1,1641,0,4,14899,0.000000
t1-trivial,trivial,plan-execute-reflect,cogito_14b,1,3,0,4,2726,0.000000
t2-factual,factual,plan-execute-reflect,cogito_14b,1,42,0,4,3331,0.000000
t3-tool,tool-required,plan-execute-reflect,cogito_14b,1,425,0,5,11208,0.000000
t4-multistep,multi-step,plan-execute-reflect,cogito_14b,1,2319,0,7,32133,0.000000
t5-critique,critique-amenable,plan-execute-reflect,cogito_14b,1,1565,0,6,26765,0.000000
t1-trivial,trivial,reflexion,cogito_14b,1,168,0,2,3049,0.000000
t2-factual,factual,reflexion,cogito_14b,1,37,0,2,5521,0.000000
t3-tool,tool-required,reflexion,cogito_14b,1,282,0,2,8433,0.000000
t4-multistep,multi-step,reflexion,cogito_14b,1,139,0,7,32553,0.000000
t5-critique,critique-amenable,reflexion,cogito_14b,1,169,0,2,7815,0.000000
t1-trivial,trivial,tree-of-thought,cogito_14b,1,194,0,29,36529,0.000000
t2-factual,factual,tree-of-thought,cogito_14b,1,107,0,28,23354,0.000000
t3-tool,tool-required,tree-of-thought,cogito_14b,1,206,0,30,34719,0.000000
t4-multistep,multi-step,tree-of-thought,cogito_14b,1,153,0,30,32204,0.000000
t5-critique,critique-amenable,tree-of-thought,cogito_14b,1,211,0,32,31903,0.000000
t1-trivial,trivial,reactive,qwen3_14b,1,3,0,1,13249,0.000000
t2-factual,factual,reactive,qwen3_14b,1,37,0,6,23150,0.000000
t3-tool,tool-required,reactive,qwen3_14b,1,124,0,6,22424,0.000000
t4-multistep,multi-step,reactive,qwen3_14b,1,1441,0,1,23012,0.000000
t5-critique,critique-amenable,reactive,qwen3_14b,1,1631,0,6,51679,0.000000
t1-trivial,trivial,plan-execute-reflect,qwen3_14b,1,3,0,4,22987,0.000000
t2-factual,factual,plan-execute-reflect,qwen3_14b,1,37,0,4,14187,0.000000
t3-tool,tool-required,plan-execute-reflect,qwen3_14b,1,390,0,5,47044,0.000000
t4-multistep,multi-step,plan-execute-reflect,qwen3_14b,1,1415,0,4,55438,0.000000
t5-critique,critique-amenable,plan-execute-reflect,qwen3_14b,1,1859,0,6,68932,0.000000
t1-trivial,trivial,reflexion,qwen3_14b,1,3,0,2,26746,0.000000
t2-factual,factual,reflexion,qwen3_14b,1,37,0,2,18099,0.000000
t3-tool,tool-required,reflexion,qwen3_14b,1,227,0,2,30624,0.000000
t4-multistep,multi-step,reflexion,qwen3_14b,1,745,0,2,54784,0.000000
t5-critique,critique-amenable,reflexion,qwen3_14b,1,2290,0,2,32308,0.000000
t1-trivial,trivial,tree-of-thought,qwen3_14b,1,3,0,24,303166,0.000000
t2-factual,factual,tree-of-thought,qwen3_14b,1,37,0,25,191804,0.000000
t3-tool,tool-required,tree-of-thought,qwen3_14b,1,184,0,29,271658,0.000000
t4-multistep,multi-step,tree-of-thought,qwen3_14b,1,857,0,34,273666,0.000000
t5-critique,critique-amenable,tree-of-thought,qwen3_14b,1,572,0,29,254416,0.000000
