task,complexity,strategy,model,success,outputLength,tokens,iter,durationMs,costUsd
t1-trivial,trivial,reactive,cogito_14b,1,3,3924,4,3320,0.000000
t4-multistep,multi-step,reactive,cogito_14b,0,0,6922,9,12462,0.000000
t5-critique,critique-amenable,reactive,cogito_14b,0,0,4634,4,13560,0.000000
t1-trivial,trivial,reflexion,cogito_14b,1,13,2200,2,3219,0.000000
t4-multistep,multi-step,reflexion,cogito_14b,1,2201,14282,6,28039,0.000000
t5-critique,critique-amenable,reflexion,cogito_14b,1,790,5321,2,11669,0.000000
t1-trivial,trivial,tree-of-thought,cogito_14b,1,3,12025,30,34187,0.000000
t4-multistep,multi-step,tree-of-thought,cogito_14b,1,2600,11911,30,46071,0.000000
t5-critique,critique-amenable,tree-of-thought,cogito_14b,1,105,13136,29,34838,0.000000
t1-trivial,trivial,reactive,qwen3_14b,1,3,1819,1,14510,0.000000
t4-multistep,multi-step,reactive,qwen3_14b,1,1073,7735,9,38166,0.000000
t5-critique,critique-amenable,reactive,qwen3_14b,1,2051,8172,9,47621,0.000000
t1-trivial,trivial,reflexion,qwen3_14b,1,3,5747,2,24640,0.000000
t4-multistep,multi-step,reflexion,qwen3_14b,1,1047,15062,4,104324,0.000000
t5-critique,critique-amenable,reflexion,qwen3_14b,1,3612,7079,2,36844,0.000000
t1-trivial,trivial,tree-of-thought,qwen3_14b,1,3,24330,25,248105,0.000000
t4-multistep,multi-step,tree-of-thought,qwen3_14b,1,2207,28870,30,255115,0.000000
t5-critique,critique-amenable,tree-of-thought,qwen3_14b,0,0,21565,30,209606,0.000000
